date,day,month,type
2026-03-09,Monday,March,safe
2026-03-09,Monday,March,spam
2026-03-11,Wednesday,March,safe
2026-03-11,Wednesday,March,safe
2026-03-11,Wednesday,March,spam
2026-03-11,Wednesday,March,suspicious
2026-03-11,Wednesday,March,suspicious
2026-03-11,Wednesday,March,suspicious
2026-03-12,Thursday,March,spam
2026-03-12,Thursday,March,safe
2026-03-12,Thursday,March,spam
2026-03-12,Thursday,March,spam
2026-03-12,Thursday,March,spam
2026-03-12,Thursday,March,safe
2026-03-12,Thursday,March,spam
2026-03-12,Thursday,March,spam
2026-03-12,Thursday,March,suspicious
